EBELN,EBELP,BEDAT,MATNR,TXZ01,MENGE,MEINS,NETPR,PEINH,WAERS,LIFNR,NAME1,WERKS,EKGRP
4500098701,00010,20240104,MAT-PKG-001,Corrugated Carton Box 300x200x150mm,5000.000,EA,12.50,1,INR,VEND-0042,Packaging Solutions Pvt Ltd,1000,P01
4500098702,00010,20240108,MAT-CHM-001,Hydrochloric Acid Technical Grade 33%,2000.000,L,45.00,1,INR,VEND-0078,Chemco Industries Ltd,2000,C01
4500098702,00020,20240108,MAT-CHM-002,Sodium Hydroxide Lye 50% Solution,1500.000,L,55.00,1,INR,VEND-0078,Chemco Industries Ltd,2000,C01
4500098703,00010,20240110,MAT-LUB-001,Industrial Gear Oil ISO VG 220,500.000,L,280.00,1,INR,VEND-0103,Lubricants & Oils Corp,1000,M01
4500098704,00010,20240115,MAT-ELC-001,XLPE Armoured Cable 3.5C x 95sqmm,2500.000,M,650.00,1,INR,VEND-0211,Cables & Wires India Ltd,1000,E01
4500098705,00010,20240118,MAT-STL-001,MS Flat Bar 50x6mm IS 2062 Grade A,10000.000,KG,78.00,1,INR,VEND-0156,Steel Fabricators Ltd,2000,P02
4500098706,00010,20240122,MAT-PKG-002,HDPE Woven Sack 50kg Capacity,8000.000,EA,22.00,1,INR,VEND-0042,Packaging Solutions Pvt Ltd,1000,P01
4500098707,00010,20240125,MAT-CHM-003,Sulphuric Acid Battery Grade 98%,800.000,L,95.00,1,INR,VEND-0078,Chemco Industries Ltd,2000,C01
4500098708,00010,20240130,MAT-LUB-002,Hydraulic Oil ISO VG 46,750.000,L,220.00,1,INR,VEND-0103,Lubricants & Oils Corp,1000,M01
4500098709,00010,20240202,MAT-PKG-001,Corrugated Carton Box 300x200x150mm,6500.000,EA,12.50,1,INR,VEND-0042,Packaging Solutions Pvt Ltd,1000,P01
4500098710,00010,20240205,MAT-INS-001,Glass Wool Insulation 50mm 24kg/m3,300.000,M2,185.00,1,INR,VEND-0334,Thermal Insulations Ltd,3010,M02
4500098711,00010,20240208,MAT-CHM-004,Caustic Soda Lye 48% Grade,3000.000,L,52.00,1,INR,VEND-0078,Chemco Industries Ltd,2000,C01
4500098712,00010,20240212,MAT-STL-002,Mild Steel Sheet 4mm IS 2062,5000.000,KG,85.00,1,INR,VEND-0156,Steel Fabricators Ltd,2000,P02
4500098713,00010,20240215,MAT-ELC-002,MCB 3 Pole 32A 10kA Schneider,200.000,EA,450.00,1,INR,VEND-0287,Electrical Components India,1000,E01
4500098714,00010,20240218,MAT-PKG-003,Stretch Wrap Film 500mm x 300m,150.000,RL,850.00,1,INR,VEND-0042,Packaging Solutions Pvt Ltd,1000,P01
4500098715,00010,20240222,MAT-LUB-003,Grease Lithium NLGI 2,400.000,KG,310.00,1,INR,VEND-0103,Lubricants & Oils Corp,1000,M01
4500098716,00010,20240225,MAT-CHM-001,Hydrochloric Acid Technical Grade 33%,2500.000,L,45.00,1,INR,VEND-0078,Chemco Industries Ltd,2000,C01
4500098717,00010,20240301,MAT-STL-003,ERW Pipe 50mm NB x 3.2mm IS 1239,3000.000,M,180.00,1,INR,VEND-0156,Steel Fabricators Ltd,2000,P02
4500098718,00010,20240305,MAT-PKG-001,Corrugated Carton Box 300x200x150mm,7000.000,EA,12.50,1,INR,VEND-0042,Packaging Solutions Pvt Ltd,1000,P01
4500098719,00010,20240308,MAT-CHM-005,Hydrogen Peroxide 50% Technical,600.000,L,125.00,1,INR,VEND-0078,Chemco Industries Ltd,2000,C01
