Service Point ID,Meter Number,Start Time,End Time,Duration (Hours),Consumption (kWh),Demand (kW),Cost (USD),Tariff Code,Read Type
SP-MH-001-A,MTR-4421-A,2024-01-01 00:00:00,2024-01-01 01:00:00,1.0,142.500,152.3,1284.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 01:00:00,2024-01-01 02:00:00,1.0,135.200,140.8,1218.73,TOD-HV-OFF,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 02:00:00,2024-01-01 03:00:00,1.0,128.700,134.2,1158.73,TOD-HV-OFF,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 06:00:00,2024-01-01 07:00:00,1.0,145.800,158.6,1312.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 07:00:00,2024-01-01 08:00:00,1.0,189.300,201.4,1703.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 08:00:00,2024-01-01 09:00:00,1.0,234.600,248.9,2111.40,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 09:00:00,2024-01-01 10:00:00,1.0,267.800,280.2,2410.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 10:00:00,2024-01-01 11:00:00,1.0,289.400,301.7,2604.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 11:00:00,2024-01-01 12:00:00,1.0,312.100,328.4,2808.90,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 12:00:00,2024-01-01 13:00:00,1.0,298.700,315.3,2688.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 13:00:00,2024-01-01 14:00:00,1.0,276.500,292.1,2488.40,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 14:00:00,2024-01-01 15:00:00,1.0,254.300,268.7,2288.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 15:00:00,2024-01-01 16:00:00,1.0,231.800,245.6,2086.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 16:00:00,2024-01-01 17:00:00,1.0,218.400,231.3,1965.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 17:00:00,2024-01-01 18:00:00,1.0,245.200,258.4,2206.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 18:00:00,2024-01-01 19:00:00,1.0,268.900,281.7,2420.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 19:00:00,2024-01-01 20:00:00,1.0,252.100,265.8,2268.90,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 20:00:00,2024-01-01 21:00:00,1.0,198.700,210.4,1788.23,TOD-HV-OFF,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 21:00:00,2024-01-01 22:00:00,1.0,167.300,179.8,1505.73,TOD-HV-OFF,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 22:00:00,2024-01-01 23:00:00,1.0,152.800,163.2,1375.23,TOD-HV-OFF,interval
SP-MH-001-A,MTR-4421-A,2024-01-01 23:00:00,2024-01-02 00:00:00,1.0,138.400,148.1,1245.73,TOD-HV-OFF,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 00:00:00,2024-01-01 01:00:00,1.0,89.200,95.4,803.23,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 08:00:00,2024-01-01 09:00:00,1.0,145.600,154.8,1310.73,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 09:00:00,2024-01-01 10:00:00,1.0,167.800,178.3,1510.23,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 10:00:00,2024-01-01 11:00:00,1.0,189.400,200.6,1705.73,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 11:00:00,2024-01-01 12:00:00,1.0,201.700,213.4,1815.23,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 12:00:00,2024-01-01 13:00:00,1.0,195.300,207.1,1757.73,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 17:00:00,2024-01-01 18:00:00,1.0,178.500,189.3,1606.40,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 18:00:00,2024-01-01 19:00:00,1.0,156.400,165.7,1407.73,TOD-LT-IND,interval
SP-MH-001-B,MTR-4421-B,2024-01-01 19:00:00,2024-01-01 20:00:00,1.0,134.200,143.8,1207.73,TOD-LT-IND,interval
SP-MH-001-A,MTR-4421-A,2024-01-15 00:00:00,2024-01-15 01:00:00,1.0,138.200,148.4,1243.73,TOD-HV-OFF,interval
SP-MH-001-A,MTR-4421-A,2024-01-15 08:00:00,2024-01-15 09:00:00,1.0,241.800,255.2,2176.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-15 09:00:00,2024-01-15 10:00:00,1.0,278.400,293.7,2505.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-15 10:00:00,2024-01-15 11:00:00,1.0,305.700,321.4,2751.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-01-15 11:00:00,2024-01-15 12:00:00,1.0,318.200,334.8,2863.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-02-01 08:00:00,2024-02-01 09:00:00,1.0,225.400,238.7,2028.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-02-01 09:00:00,2024-02-01 10:00:00,1.0,258.900,273.4,2330.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-02-01 10:00:00,2024-02-01 11:00:00,1.0,287.300,302.8,2585.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-02-15 08:00:00,2024-02-15 09:00:00,1.0,234.700,248.2,2112.23,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-02-15 09:00:00,2024-02-15 10:00:00,1.0,267.100,281.6,2403.90,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-03-01 08:00:00,2024-03-01 09:00:00,1.0,219.600,232.4,1976.40,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-03-01 09:00:00,2024-03-01 10:00:00,1.0,248.300,262.7,2234.73,TOD-HV-PEAK,interval
SP-MH-001-A,MTR-4421-A,2024-03-01 10:00:00,2024-03-01 11:00:00,1.0,274.800,289.3,2473.23,TOD-HV-PEAK,interval
