MBLNR,MJAHR,ZEILE,BUDAT,WERKS,LGORT,MATNR,MAKTX,BWART,MENGE,MEINS,KOSTL,DMBTR,WAERS
4900012301,2024,0001,20240103,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,5200.000,L,CC-PLANT1-OPS,468000.00,INR
4900012302,2024,0001,20240105,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,3800.000,L,CC-PLANT1-OPS,342000.00,INR
4900012303,2024,0001,20240108,2000,0001,MAT-DSL-001,Diesel HSD IS 1460,261,6100.000,L,CC-PLANT2-MFG,549000.00,INR
4900012304,2024,0001,20240110,1000,0002,MAT-PET-001,Motor Spirit (Petrol) MS 95,201,1200.000,L,CC-PLANT1-VEH,120000.00,INR
4900012305,2024,0001,20240112,3010,0001,MAT-LPG-001,LPG Commercial Grade IS 4576,201,2500.000,KG,CC-PLANT3-HTG,187500.00,INR
4900012306,2024,0001,20240115,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,4950.000,L,CC-PLANT1-OPS,445500.00,INR
4900012307,2024,0001,20240117,2000,0001,MAT-DSL-001,Diesel HSD IS 1460,261,7200.000,L,CC-PLANT2-MFG,648000.00,INR
4900012308,2024,0001,20240120,1000,0002,MAT-PET-001,Motor Spirit (Petrol) MS 95,201,980.000,L,CC-PLANT1-VEH,98000.00,INR
4900012309,2024,0001,20240122,3010,0001,MAT-LPG-001,LPG Commercial Grade IS 4576,201,3100.000,KG,CC-PLANT3-HTG,232500.00,INR
4900012310,2024,0001,20240125,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,5800.000,L,CC-PLANT1-OPS,522000.00,INR
4900012311,2024,0001,20240201,2000,0001,MAT-DSL-001,Diesel HSD IS 1460,261,6900.000,L,CC-PLANT2-MFG,621000.00,INR
4900012312,2024,0001,20240205,1000,0002,MAT-PET-001,Motor Spirit (Petrol) MS 95,201,1350.000,L,CC-PLANT1-VEH,135000.00,INR
4900012313,2024,0001,20240208,3010,0001,MAT-LPG-001,LPG Commercial Grade IS 4576,201,2800.000,KG,CC-PLANT3-HTG,210000.00,INR
4900012314,2024,0001,20240210,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,5100.000,L,CC-PLANT1-OPS,459000.00,INR
4900012315,2024,0001,20240215,2000,0001,MAT-DSL-001,Diesel HSD IS 1460,261,8400.000,L,CC-PLANT2-MFG,756000.00,INR
4900012316,2024,0001,20240218,1000,0002,MAT-PET-001,Motor Spirit (Petrol) MS 95,201,1100.000,L,CC-PLANT1-VEH,110000.00,INR
4900012317,2024,0001,20240222,3010,0001,MAT-DSL-002,Diesel Generator Grade,201,4200.000,L,CC-PLANT3-GEN,378000.00,INR
4900012318,2024,0001,20240225,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,14500.000,L,CC-PLANT1-OPS,1305000.00,INR
4900012319,2024,0001,20240301,2000,0001,MAT-DSL-001,Diesel HSD IS 1460,261,7100.000,L,CC-PLANT2-MFG,639000.00,INR
4900012320,2024,0001,20240305,1000,0002,MAT-PET-001,Motor Spirit (Petrol) MS 95,201,1450.000,L,CC-PLANT1-VEH,145000.00,INR
4900012321,2024,0001,20240308,3010,0001,MAT-LPG-001,LPG Commercial Grade IS 4576,201,3300.000,KG,CC-PLANT3-HTG,247500.00,INR
4900012322,2024,0001,20240312,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,5400.000,L,CC-PLANT1-OPS,486000.00,INR
4900012323,2024,0001,20240315,2000,0001,MAT-DSL-001,Diesel HSD IS 1460,261,6700.000,L,CC-PLANT2-MFG,603000.00,INR
4900012324,2024,0001,20240318,4000,0001,MAT-NGS-001,Compressed Natural Gas CNG,201,850.000,M3,CC-PLANT4-KLN,42500.00,INR
4900012325,2024,0001,20240322,1000,0001,MAT-DSL-001,Diesel HSD IS 1460,201,5650.000,L,CC-PLANT1-OPS,508500.00,INR
